method,pose,tx,ty,tz,exact,grid,diff,ms_base,ms_grid
sd,24,4.404,6.321,12.233,-8296952487.816238,-8296952487.816238,0.0,8.9877,8.266
sd,25,2.91,-14.49,-3.315,-3063054965.747036,-3063054965.747036,0.0,37.6266,23.8577
sd,26,9.549,-16.666,0.679,-4712621803.721681,-4712621803.721681,0.0,9.7125,8.5989
sd,27,5.917,21.6,-2.128,-429470319.687364,-429470319.687364,0.0,8.444,7.5483
sd,28,-2.328,1.908,-0.602,-887340604.624313,-887340604.624313,0.0,9.0142,8.7915
sd,29,1.98,-2.287,-3.209,-2634479480.685681,-2634479480.685681,0.0,8.2974,8.2583
sd,30,-1.564,1.008,-6.45,-1052873579.065653,-1052873579.065653,0.0,8.5941,9.2283
vdw,0,0.0,0.0,0.0,-428.772414,-428.772414,0.0,7.3259,7.0941
vdw,1,2.494,-2.851,-2.208,-625.448317,-625.448317,0.0,7.1088,8.0457
vdw,2,-18.145,-1.982,-12.084,-0.0,-0.0,0.0,7.1707,6.6075
vdw,3,4.739,-4.75,-13.317,-15.072403,-15.072403,0.0,6.35,7.3085
vdw,4,-1.08,-0.59,23.956,-628.346633,-628.346633,0.0,7.023,7.3141
vdw,5,4.69,1.493,4.73,-484.260658,-484.260658,0.0,8.0456,6.895
vdw,6,-0.246,1.486,3.166,-581.495677,-581.495677,0.0,8.566,6.161
vdw,7,3.704,-1.518,-0.543,-536.89635,-536.89635,0.0,7.7796,6.3559
vdw,8,2.228,1.098,-1.144,-8.329372,-8.329372,0.0,8.228,7.4557
vdw,9,-16.055,-0.431,10.143,-31.168285,-31.168285,0.0,8.572,6.6396
vdw,10,-0.262,0.804,2.018,-1119.420395,-1119.420395,0.0,7.769,8.057
vdw,11,1.641,-3.143,-3.191,-419.724829,-419.724829,0.0,6.5427,7.393
vdw,12,4.066,3.593,4.868,-668.804808,-668.804808,0.0,6.75,7.1288
vdw,13,0.65,6.785,9.923,-914.134404,-914.134404,0.0,7.8803,7.7065
vdw,14,-3.1,3.333,9.533,-549.896757,-549.896757,0.0,7.0122,6.7959
vdw,15,-2.423,-5.175,0.131,-778.922714,-778.922714,0.0,8.0778,7.8588
vdw,16,-4.491,-8.856,11.659,-541.533824,-541.533824,0.0,7.6571,6.7641
vdw,17,-0.218,9.922,6.546,-359.072451,-359.072451,0.0,6.6106,6.7458
vdw,18,-0.955,0.542,5.352,-1149.483618,-1149.483618,0.0,6.8152,7.9951
vdw,19,-11.187,6.316,10.29,-311.252491,-311.252491,0.0,6.7986,8.1918
vdw,20,-0.554,1.853,7.064,-1955.718141,-1955.718141,0.0,7.0865,8.7078
vdw,21,1.369,-5.247,3.232,-1145.902318,-1145.902318,0.0,8.1282,8.1636
vdw,22,0.07,-5.888,11.303,-1569.257573,-1569.257573,0.0,7.2559,8.435
vdw,23,-8.225,5.265,-11.431,-0.0,-0.0,0.0,7.5319,8.0859
vdw,24,4.404,6.321,12.233,-675.710045,-675.710045,0.0,8.3793,9.4329
vdw,25,2.91,-14.49,-3.315,-338.554799,-338.554799,0.0,7.2385,7.67
vdw,26,9.549,-16.666,0.679,-473.782346,-473.782346,0.0,8.3473,9.1126
vdw,27,5.917,21.6,-2.128,-45.970756,-45.970756,0.0,7.4566,7.8881
vdw,28,-2.328,1.908,-0.602,-232.918715,-232.918715,0.0,8.6544,7.9851
